id_str,user_id,user_sreen_name,retweet_count,in_reply_to_status_id,text
1072334119135272960,1040561179712741379,FARHANA33259816,0,null,  69000 की भर्ती सिर्फ शिक्षामित्रों के लिये है सामान्य वर्ग के अभ्यर्थियों के हत्या कर दी गयी है ।भाजपा सरकार के रहते इत…
1072334119139446784,270899188,shun_roentgen,0,1072334003477381120,1 俳句は読める
1072334119131066368,764868791813582848,Z4ko_down,0,null,あたしの唯一の休みの火曜日はどんどん予約が溜まりますストレスは発散できますが、、、体を休めたいです
1072334119110148096,4740926216,WHulic,0,1072308412455768064, War
1072334119131058182,15254607,Rolandvz,0,1072264682424156162, Cuuuuuuute
1072334119114285056,1051369094966960129,tktPxz289sAFZ0R,0,null,          7puhEum0J
1072334119114342400,1052786612747337730,notquitebamafan,0,null,  Agree with Max 
1072334119126908929,154703028,mikaylacardonaa,0,null,  YESSS This makes me so happy Congrats  🎉🙌🏽❤️ 6mKCus
1072334119147855872,998767077820456960,BarbieLonahh,0,null, _ i’m convinced i’m gonna be alone forever
1072334119139459072,747684664786157568,SPACE__zin,0,null,やる気ある時に限って時間がない。時間ある時に限ってやる気が出ない。
1072334119131062273,1046526033942347777,PlayfulMum,0,1072331072082456576, 3  04 _Patel  _Humor 67… 4z2qMJr
1072334119122685952,980540203373867008,Ali_Bash0,0,null,  ماكرون يقول إنه طلب من الحكومة زيادة الأجور بـ 100 يورو شهريا بداية من الشهر المقبل
1072334119122673666,749067916310487041,ma_mb_ma,0,null,  昨日砂糖を盛大にひっくり返した私ですが、これまで色んな粉をひっくり返し学んだ教訓をお伝えしたい。「カレー粉は掃除機で吸うべからず」カレー粉を一度吸い込んだが最後その掃除機は息絶えるその日まで一生掃除する度にカレー臭。フィルターを洗って…
1072334119126949888,750461819500638208,elentari7,0,null,  By carefully swinging my arm out in front of me I’m starting to get a better look at the ground in front of me where I’ll…
1072334119126949890,2566347696,ifatinazwani96,0,null,  Aku jadi tawar hati nak berjemaah di masjid sebab1 Aku solat pakai snowcap (sebab aku botak amp aku masih malu since keb…
1072334119126949891,792073876226265088,Jo_in_Vegas,0,null, 56340625 Pa top trend tayo fam para malabas ni  yung selfie ng ZekShie DONKISS…
1072334119110107136,945066714848481280,WambaireGichuki,0,null,  Look at this transition man did the juju bop and reversed it into a gun lean ❄️❄️❄️❄️❄️❄️ 7EBaagiLoH
1072334119131062272,794846723893915648,naruseyanoken1,0,null,今年も討ち入りの日、12月14日が近づいてきました。久々の映画紹介になります。ご覧いただけますと幸いです✨  【忠臣蔵】平成最後の暮れに「最後の忠臣蔵」 
1072334119147851776,3293430363,Lissa_macedob,0,null,Ta de rolo com alguém — Deus me livre mas quem me dera continuo sozinhaampcarente msm 5skEMJj0
1072334119143657472,2261130348,Rxiiyy,0,null,  9s
1072334119126908928,161829920,miomip,0,null,  ディードリット　7文字を見ただけで心ときめく人がしてくれる 6AS4Toa0g
1072334119122755584,800522306539794432,true_ronpa,0,1072333192038895618,トゥルが色塗りするまでのチキチキレースディスコしてくれる人おらん？？
1072334119126884354,969866450738364417,reina___FX,0,null,もぐもぐたいむ🍴(*´ω`*)眠いよーぉ     💤 0VScvcu
1072334123337990144,285205866,saudalmutawaa,0,null, ___alhilal _ماتحبهاسوء الظن صفه محرمه اقصد انك منت ولد ناسلكن انت تفكيرك مايتعدى جزمتكمسوي فاهم وفوقها حساس لو ما…
1072334123325374464,163357057,Sha_le_la,0,null,これ
1072334123325370368,927467378828500992,mayu25060495,0,null, _momo_  🌺            Thank you so much …🌲🌿 
1072334123308593152,149709676,leebokgyu,0,null, 21net “유치원3법이 무산됐습니다학부모 분담금을 교육외 목적으로 사용할 경우 처벌하는 규정을 반대하는 한국당의 입장이 잘 드러났습니다처벌규정을 2년 유예하는 타협안까지 냈는데 그것조차도 부정했습니다다시 한번 유치원3법이 통과될…
1072334123337961472,19471448,dermotm,0,null,I bet both the WWE champion and universal champion are watching  instead of 
1072334123304398848,273221870,Tamajima,0,null,  フランスのデモ、フランス語で黄色いベストって検索すると一番上にフランスAmazonが出て、「デモにぴったりのベスト！」「土曜の午後にお友達と道をふさぐのに最適！」って星5レビューついてるの変な笑い出る …
1072334123329560577,1137226986,LEO_kisei,0,null, _MC 山口螢が神戸に選ばれたのは前からハメていけるから。ある記者によるとイニエスタが試合中チームメートに身振り手振りで話してる時はほぼ守備の仕方。前の選手のプレスに続いて後ろは前にズレろと。ポルディもイニエスタ来る前からそれ伝えてた。大体日本のバルサ化が失…
1072334123338006528,768462234838196224,tela_kotta,0,null,朕様にチェイテピラミッド姫路城見せて「これも汎人類史なの？」って顔させたいからまた復刻して
1072334123321212929,370077981,ofutonyeah,0,1072325125129691136,@_________ilo ははーん。実行します
1072334123342139394,449114392,StacyBrewer1,0,null,  When you’re connected to people that are favored people that are further along that favor is going to flow down to you T…
1072334123304402944,124219276,jonathanq21,0,null,Acaba de publicar una foto en Mexico City Mexico 5LSFjpKC
1072334123329642496,2797093235,elconcui,0,null,솔쟁이 4K8cp8aC
1072334123316977670,1562804370,navishka508,0,null,  A look at how Diabolical Liberties created their incredible mural for  (out now at 534C5…
1072334123316985856,158391325,Line_barrels,0,null, _kayousai 😃＼サインプレゼント／ のアカウントをフォローしてこのツイートをしてくれた方の中から抽選で１名様に ご出演の さん  さん さん  さんのサインをプレゼ…
1072334123304390657,998921194886709248,Anonemamama,0,1072255699382493184, 3時間で幸せ感じられるのは出来すぎてる私8時間ないと満たされないね、変にテンション高くなってその後また疲れる
1072334123329617920,833806677258403841,Gloriav70423177,0,null,  Unbelievable speechless right now I LOVE YOU
1072334123316973568,984283203555897344,cosmiicchip,0,null,  My goal in life is to become a meme
1072334123325370370,1480401194,MackBack2UNC,0,null,  Former  tight end Eric Ebron is leading the league in touchdown receptions4BnjNU1k
1072334123321229318,928598688225619968,momota_imas,0,null, _me_nots みずほ銀行は今週末も金曜24時からATMが休止する予定ですので、その周知の為にまたまた画像を投稿しています。今回はvs個人勘定データ移行で最大店舗数での作業。しかも、それを３連休でない通常の土日にこなし、終了日は給与賞与に年金支給が待ち構え…
1072334123321167874,389867702,CaptnSan,0,null,Um ok I might be ugly here but im sure i’m handsome in another part of the world 😴😴
1072334123308589056,969198422157770757,NGZK46nnm,0,null,今日も寒いー
1072334123321229317,3187239182,AgentBigfoot,0,null,Fact
1072334123333758977,3239794291,leslieforbes25,0,1072328276163485697,_airbus   You are entitled to your view
1072334123325448192,984596739511349248,ung2cute,0,null,  7CUzmaWNay
1072334123321176064,959213014716121098,futureking57,0,null, 4News Weve been told were racists that were a bit stupid a bit too Northern And now were being told we didnt know what…
1072334123321171969,2880171209,SantosYan98,0,null,  PESSOAL QUE MORA EM ANCHIETA caso encontrem duas cachorras uma pinscher (mel) bem pequenininha e uma grandona vira-lata…
1072334123321188352,1063709958066163712,smollasta,0,null,  hinata creating nicknames for kageyama is so  cute 36Xah9
1072334123321171968,635901679,Licman1293,0,null, _S2_mobi  _고정틀_커미션💖슬롯 달성시 추첨 1명💖☆멀뚱 고정틀☆ 커미션입니다가격은 7000원이며 문의는 DM으로 받습니다순서는 예약이 끝나는대로 작업합니다인장용프로필사진 용으로…
1072334123321176066,16054501,APO_AE_01973,0,null,  Federal judge rules Mass law prohibiting secret audio recording of police government officials is unconstitutional ht…
1072334123329568769,920640014064611328,Aikyan_48,0,null,今作受身とジャスガがバチクソに難しくなってて受身はちょいちょい出来てもジャスガ狙えないんですけど、、、ヤバすぎる
1072334123321184256,1032115589404344320,Agus26704646,0,null,Y que saca su propias conclusiones de mi vida das lastima besitosss
1072334123321229319,3031817545,IamDearborn,0,1072321459983405056,1  So you’re saying the wall along the southern border of the US would stop people from driving fro… 57GLg9f
1072334123321212928,1030495413722378240,Fortnit21759496,0,null,corn guy yes 4Xjl99ZT
1072334123304394752,3247166680,BedroomJunkie,0,1072332447679987712, 2nBEqYtV
1072334127515480064,769861934011125760,ebi3024,0,null, @0621Hiro0621 本日からあんステの稽古に合流させていただきました！！！！全力で頑張ります😊！！！！みんなで頑張っていきましょ！！ 9cfNM
1072334127536463873,154175624,fetiyep,0,null,  Sıfır Tolerans klibini “çocuk ve gençlerin ahlaki gelişimine zarar verebilecek türde içerik taşıması”nı gerekçe sunara…
1072334127532306432,970775141495001090,martiaguilarr,0,null, 14 Qué gorda estoy y no paro de comerrrr🤦🤦🤦🤦
1072334127519723527,355383943,ambitieux_cinta,0,null,Do either of these offenses want to win this game for their defense
1072334127511339010,814747256570056708,GOT7tamai728,0,null,大丈夫かヒョナ😅フォロー外したのに、嫌でも情報が回ってくるじゃん。それをファンが見たいと思ってるのか？恋は盲目だからね。
1072334127528058887,2365334804,asadaryutarou07,0,null,来週2人目のバチスタをする。俺のチームに参加しろ。
1072334127502950400,271185764,PaulDiiego,0,null,Los reconocimientos son como la red Bull
1072334127502901248,2696548234,Jermeria_Brown,0,null, 28 In need of a long hot shower
1072334127532310528,1040319866685669376,zielgigas__,0,null,ファフニールって体力高いモンスターより墓地の数足りてなかったら発動出来ないってことかな
1072334127523876864,758524750008287232,cao_wiki,0,null,  internet school if you use refs to draw youre cheatingactual art school if you come to class without refs im gonna kick y…
1072334127507087360,52187233,j0annynha,0,1072271289614827521, legal
1072334127536529408,800909637029543936,SintomaERS,0,null,  9kiIpu9MO2
1072334127523946496,376032936,jenn_ayye97,0,null, @_SE0NGHWAZ when u amp ur friends at the club and this song comes on 
1072334127523860480,854231567337697280,K1F1R,0,null, ___l__h ____1 اجتهد ، وثابر ، وذاكر قال الله تعالى ( إنا  لانضيع أجر من أحسن عملاً)_نقاء_الغرور_للدعم 53RNU…
1072334127523905536,2469828062,rockstarkaiju,0,1072245914667008007, More babies Sure I’m sure somebody can get them for us
